"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_ETH_20","C2021_ETH_20_NAME","C2021_ETH_20_CODE","C2021_ETH_20_TYPE","C2021_ETH_20_TYPECODE","C2021_ETH_20_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"0","Total: All usual residents","0","Ethnic group",1000000,0,"20100","Value",12300,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d0d20100",0,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"0","Total: All usual residents","0","Ethnic group",1000000,0,"20301","Percent",100.0,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d0d20301",1,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1001","Asian, Asian British or Asian Welsh","1001","Ethnic group",1000000,1,"20100","Value",1603,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d12a13a10a11a14d20100",2,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1001","Asian, Asian British or Asian Welsh","1001","Ethnic group",1000000,1,"20301","Percent",13.0,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d12a13a10a11a14d20301",3,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"12","Asian, Asian British or Asian Welsh: Bangladeshi","_1","Ethnic group",1000000,2,"20100","Value",66,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d12d20100",4,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"12","Asian, Asian British or Asian Welsh: Bangladeshi","_1","Ethnic group",1000000,2,"20301","Percent",0.5,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d12d20301",5,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"13","Asian, Asian British or Asian Welsh: Chinese","_2","Ethnic group",1000000,3,"20100","Value",361,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d13d20100",6,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"13","Asian, Asian British or Asian Welsh: Chinese","_2","Ethnic group",1000000,3,"20301","Percent",2.9,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d13d20301",7,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"10","Asian, Asian British or Asian Welsh: Indian","_3","Ethnic group",1000000,4,"20100","Value",569,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d10d20100",8,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"10","Asian, Asian British or Asian Welsh: Indian","_3","Ethnic group",1000000,4,"20301","Percent",4.6,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d10d20301",9,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"11","Asian, Asian British or Asian Welsh: Pakistani","_4","Ethnic group",1000000,5,"20100","Value",106,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d11d20100",10,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"11","Asian, Asian British or Asian Welsh: Pakistani","_4","Ethnic group",1000000,5,"20301","Percent",0.9,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d11d20301",11,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"14","Asian, Asian British or Asian Welsh: Other Asian","_5","Ethnic group",1000000,6,"20100","Value",501,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d14d20100",12,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"14","Asian, Asian British or Asian Welsh: Other Asian","_5","Ethnic group",1000000,6,"20301","Percent",4.1,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d14d20301",13,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1002","Black, Black British, Black Welsh, Caribbean or African","1002","Ethnic group",1000000,7,"20100","Value",269,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d16a15a17d20100",14,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1002","Black, Black British, Black Welsh, Caribbean or African","1002","Ethnic group",1000000,7,"20301","Percent",2.2,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d16a15a17d20301",15,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"16","Black, Black British, Black Welsh, Caribbean or African: African","_6","Ethnic group",1000000,8,"20100","Value",185,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d16d20100",16,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"16","Black, Black British, Black Welsh, Caribbean or African: African","_6","Ethnic group",1000000,8,"20301","Percent",1.5,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d16d20301",17,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"15","Black, Black British, Black Welsh, Caribbean or African: Caribbean","_7","Ethnic group",1000000,9,"20100","Value",48,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d15d20100",18,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"15","Black, Black British, Black Welsh, Caribbean or African: Caribbean","_7","Ethnic group",1000000,9,"20301","Percent",0.4,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d15d20301",19,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"17","Black, Black British, Black Welsh, Caribbean or African: Other Black","_8","Ethnic group",1000000,10,"20100","Value",36,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d17d20100",20,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"17","Black, Black British, Black Welsh, Caribbean or African: Other Black","_8","Ethnic group",1000000,10,"20301","Percent",0.3,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d17d20301",21,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1003","Mixed or Multiple ethnic groups","1003","Ethnic group",1000000,11,"20100","Value",820,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d8a7a6a9d20100",22,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1003","Mixed or Multiple ethnic groups","1003","Ethnic group",1000000,11,"20301","Percent",6.7,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d8a7a6a9d20301",23,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"8","Mixed or Multiple ethnic groups: White and Asian","_9","Ethnic group",1000000,12,"20100","Value",324,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d8d20100",24,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"8","Mixed or Multiple ethnic groups: White and Asian","_9","Ethnic group",1000000,12,"20301","Percent",2.6,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d8d20301",25,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"7","Mixed or Multiple ethnic groups: White and Black African","_10","Ethnic group",1000000,13,"20100","Value",87,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d7d20100",26,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"7","Mixed or Multiple ethnic groups: White and Black African","_10","Ethnic group",1000000,13,"20301","Percent",0.7,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d7d20301",27,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"6","Mixed or Multiple ethnic groups: White and Black Caribbean","_11","Ethnic group",1000000,14,"20100","Value",88,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d6d20100",28,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"6","Mixed or Multiple ethnic groups: White and Black Caribbean","_11","Ethnic group",1000000,14,"20301","Percent",0.7,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d6d20301",29,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"9","Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups","_12","Ethnic group",1000000,15,"20100","Value",321,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d9d20100",30,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"9","Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups","_12","Ethnic group",1000000,15,"20301","Percent",2.6,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d9d20301",31,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1004","White","1004","Ethnic group",1000000,16,"20100","Value",8850,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d1a2a3a4a5d20100",32,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1004","White","1004","Ethnic group",1000000,16,"20301","Percent",72.0,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d1a2a3a4a5d20301",33,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1","White: English, Welsh, Scottish, Northern Irish or British","_13","Ethnic group",1000000,17,"20100","Value",4477,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d1d20100",34,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1","White: English, Welsh, Scottish, Northern Irish or British","_13","Ethnic group",1000000,17,"20301","Percent",36.4,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d1d20301",35,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"2","White: Irish","_14","Ethnic group",1000000,18,"20100","Value",241,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d2d20100",36,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"2","White: Irish","_14","Ethnic group",1000000,18,"20301","Percent",2.0,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d2d20301",37,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"3","White: Gypsy or Irish Traveller","_15","Ethnic group",1000000,19,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d3d20100",38,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"3","White: Gypsy or Irish Traveller","_15","Ethnic group",1000000,19,"20301","Percent",0.0,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d3d20301",39,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"4","White: Roma","_16","Ethnic group",1000000,20,"20100","Value",47,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d4d20100",40,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"4","White: Roma","_16","Ethnic group",1000000,20,"20301","Percent",0.4,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d4d20301",41,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"5","White: Other White","_17","Ethnic group",1000000,21,"20100","Value",4085,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d5d20100",42,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"5","White: Other White","_17","Ethnic group",1000000,21,"20301","Percent",33.2,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d5d20301",43,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1005","Other ethnic group","1005","Ethnic group",1000000,22,"20100","Value",758,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d18a19d20100",44,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"1005","Other ethnic group","1005","Ethnic group",1000000,22,"20301","Percent",6.2,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d18a19d20301",45,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"18","Other ethnic group: Arab","_18","Ethnic group",1000000,23,"20100","Value",144,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d18d20100",46,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"18","Other ethnic group: Arab","_18","Ethnic group",1000000,23,"20301","Percent",1.2,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d18d20301",47,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"19","Other ethnic group: Any other ethnic group","_19","Ethnic group",1000000,24,"20100","Value",614,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d19d20100",48,1000
"2021","2021","2021","date",0,0,"641734644","Belsize","E05013652","2022 wards",153,0,"19","Other ethnic group: Any other ethnic group","_19","Ethnic group",1000000,24,"20301","Percent",5.0,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734644d19d20301",49,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"0","Total: All usual residents","0","Ethnic group",1000000,0,"20100","Value",11098,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d0d20100",50,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"0","Total: All usual residents","0","Ethnic group",1000000,0,"20301","Percent",100.0,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d0d20301",51,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"1001","Asian, Asian British or Asian Welsh","1001","Ethnic group",1000000,1,"20100","Value",2977,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d12a13a10a11a14d20100",52,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"1001","Asian, Asian British or Asian Welsh","1001","Ethnic group",1000000,1,"20301","Percent",26.8,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d12a13a10a11a14d20301",53,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"12","Asian, Asian British or Asian Welsh: Bangladeshi","_1","Ethnic group",1000000,2,"20100","Value",640,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d12d20100",54,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"12","Asian, Asian British or Asian Welsh: Bangladeshi","_1","Ethnic group",1000000,2,"20301","Percent",5.8,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d12d20301",55,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"13","Asian, Asian British or Asian Welsh: Chinese","_2","Ethnic group",1000000,3,"20100","Value",1049,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d13d20100",56,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"13","Asian, Asian British or Asian Welsh: Chinese","_2","Ethnic group",1000000,3,"20301","Percent",9.5,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d13d20301",57,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"10","Asian, Asian British or Asian Welsh: Indian","_3","Ethnic group",1000000,4,"20100","Value",602,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d10d20100",58,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"10","Asian, Asian British or Asian Welsh: Indian","_3","Ethnic group",1000000,4,"20301","Percent",5.4,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d10d20301",59,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"11","Asian, Asian British or Asian Welsh: Pakistani","_4","Ethnic group",1000000,5,"20100","Value",111,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d11d20100",60,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"11","Asian, Asian British or Asian Welsh: Pakistani","_4","Ethnic group",1000000,5,"20301","Percent",1.0,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d11d20301",61,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"14","Asian, Asian British or Asian Welsh: Other Asian","_5","Ethnic group",1000000,6,"20100","Value",575,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d14d20100",62,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"14","Asian, Asian British or Asian Welsh: Other Asian","_5","Ethnic group",1000000,6,"20301","Percent",5.2,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d14d20301",63,1000
"2021","2021","2021","date",0,0,"641734645","Bloomsbury","E05013653","2022 wards",153,1,"1002","Black, Black British, Black Welsh, Caribbean or African","1002","Ethnic group",1000000,7,"20100","Value",636,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d641734645d16a15a17d20100",64,1000
